ID,Tip,Nume,Cantitate,PragAlerta,PretAchizitie,PretVanzare,VolumM3
5619,Perisabile,[Perisabile] Spray Degripant Model 22,10,11,208.33,294.69,0.223
5620,Electronice,[Electronice] Sursa Laborator Model 80,92,14,151.89,322.81,0.44
5621,Auto,Rulment Roata Fata Model 71,21,14,178.2,386.79,0.361
5622,Perisabile,[Perisabile] Spray Degripant Model 34,64,12,88.59,162.67,0.458
5623,Auto,Baterie 12V 70Ah Model 41,74,10,209.98,352.71,0.018
5624,Electronice,[Electronice] Modul Transmisie LoRa Model 24,58,20,122.09,166.21,0.091
5625,Electronice,[Electronice] Osciloscop Model 91,23,8,232.71,557.02,0.247
5626,Auto,Baterie 12V 70Ah Model 54,86,20,191.78,398.33,0.058
5627,Hardware,Trusa Tubulare Model 21,25,20,199.72,364.0,0.475
5628,Perisabile,[Perisabile] Spray Degripant Model 89,24,6,16.2,19.69,0.479
5629,Electronice,[Electronice] Modul Transmisie LoRa Model 72,96,18,72.8,162.82,0.44
5630,Auto,Furtun Intercooler 2.0 TDI Model 97,35,17,76.4,96.76,0.467
5631,Auto,Baterie 12V 70Ah Model 84,85,20,202.09,356.76,0.067
5632,Electronice,[Electronice] Modul Transmisie LoRa Model 73,142,10,162.5,391.39,0.496
5633,Hardware,Set Imbusuri Model 94,20,5,111.86,198.32,0.09
5634,Perisabile,[Perisabile] Spray Degripant Model 71,15,15,275.01,621.44,0.181
5635,Electronice,[Electronice] Sursa Laborator Model 19,43,14,22.29,34.3,0.256
5636,Perisabile,[Perisabile] Solutie Curatare Frane Model 17,74,9,264.47,470.22,0.316
5637,Hardware,Trusa Tubulare Model 70,54,17,229.57,439.99,0.207
5638,Hardware,Incarcator Gaz Model 66,87,7,117.08,179.43,0.034
5639,Auto,Furtun Intercooler 2.0 TDI Model 50,109,6,201.08,279.72,0.176
5640,Perisabile,[Perisabile] Solutie Curatare Frane Model 90,36,14,298.74,518.3,0.058
5641,Electronice,[Electronice] Multimetru Analogic Model 9,138,15,229.79,528.55,0.366
5642,Hardware,Trusa Tubulare Model 43,71,15,84.04,105.35,0.326
5643,Perisabile,[Perisabile] Adeziv Industrial Model 51,96,6,184.65,399.17,0.487
5644,Hardware,Cheie Dinamometrica Model 83,126,18,276.15,446.58,0.214
5645,Perisabile,[Perisabile] Solutie Curatare Frane Model 6,67,8,30.34,66.19,0.37
5646,Hardware,Set Imbusuri Model 5,84,13,16.69,32.29,0.363
5647,Hardware,Cheie Dinamometrica Model 20,90,12,77.2,134.18,0.382
5648,Perisabile,[Perisabile] Spray Degripant Model 89,17,15,194.49,348.8,0.119
5649,Hardware,Incarcator Gaz Model 23,146,17,178.58,308.9,0.433
5650,Auto,Set Placute Frana Model 2,29,20,123.72,200.24,0.312
5651,Auto,Baterie 12V 70Ah Model 79,119,9,115.56,147.35,0.416
5652,Electronice,[Electronice] Sursa Laborator Model 53,56,6,276.8,595.46,0.292
5653,Auto,Senzor Debitmetru Model 28,58,13,69.84,112.81,0.348
5654,Auto,Senzor Debitmetru Model 15,121,14,191.78,268.6,0.175
5655,Hardware,Trusa Tubulare Model 60,68,20,294.04,385.71,0.293
5656,Electronice,[Electronice] Multimetru Analogic Model 57,65,18,21.08,33.99,0.263
5657,Hardware,Set Imbusuri Model 49,110,5,20.59,47.63,0.027
5658,Perisabile,[Perisabile] Solutie Curatare Frane Model 53,90,15,154.9,227.76,0.342
5659,Hardware,Trusa Tubulare Model 13,116,15,132.74,325.73,0.47
5660,Auto,Filtru Aer Model 27,76,9,149.42,220.77,0.216
5661,Hardware,Cheie Dinamometrica Model 94,40,17,128.97,273.66,0.108
5662,Electronice,[Electronice] Modul Transmisie LoRa Model 48,64,16,225.64,341.37,0.352
5663,Electronice,[Electronice] Modul Transmisie LoRa Model 90,51,9,207.6,485.13,0.236
5664,Auto,Rulment Roata Fata Model 43,108,7,182.07,248.1,0.361
5665,Auto,Filtru Aer Model 12,31,7,196.9,294.06,0.189
5666,Perisabile,[Perisabile] Spray Degripant Model 22,50,19,274.05,618.75,0.407
5667,Perisabile,[Perisabile] Solutie Curatare Frane Model 37,36,13,17.65,41.4,0.401
5668,Auto,Rulment Roata Fata Model 8,127,9,124.62,232.48,0.067
5669,Electronice,[Electronice] Multimetru Analogic Model 94,72,6,23.86,39.09,0.452
5670,Perisabile,[Perisabile] Solutie Curatare Frane Model 46,67,20,200.46,342.45,0.273
5671,Auto,Baterie 12V 70Ah Model 55,2,19,23.05,36.38,0.433
5672,Auto,Set Placute Frana Model 12,121,12,253.47,313.48,0.28
5673,Perisabile,[Perisabile] Spray Degripant Model 87,44,20,89.05,129.06,0.167
5674,Perisabile,[Perisabile] Spray Degripant Model 95,95,18,282.6,372.77,0.432
5675,Auto,Senzor Debitmetru Model 47,61,5,168.49,332.28,0.452
5676,Electronice,[Electronice] Modul Transmisie LoRa Model 84,95,19,122.39,251.76,0.299
5677,Auto,Senzor Debitmetru Model 63,121,13,114.7,141.28,0.311
5678,Hardware,Cheie Dinamometrica Model 67,31,19,104.89,233.62,0.498
5679,Electronice,[Electronice] Sursa Laborator Model 91,134,7,58.79,85.92,0.476
5680,Auto,Rulment Roata Fata Model 42,48,6,234.54,577.39,0.384
5681,Perisabile,[Perisabile] Spray Degripant Model 27,132,12,18.25,26.58,0.41
5682,Perisabile,[Perisabile] Adeziv Industrial Model 52,6,18,130.93,190.32,0.463
5683,Perisabile,[Perisabile] Solutie Curatare Frane Model 39,39,10,52.73,93.58,0.487
5684,Auto,Senzor Debitmetru Model 73,16,19,165.75,252.84,0.223
5685,Perisabile,[Perisabile] Adeziv Industrial Model 53,24,19,170.64,281.68,0.161
5686,Perisabile,[Perisabile] Solutie Curatare Frane Model 82,71,17,150.6,326.78,0.205
5687,Auto,Filtru Aer Model 83,135,19,157.53,263.65,0.232
5688,Perisabile,[Perisabile] Solutie Curatare Frane Model 47,8,18,30.87,64.28,0.36
5689,Hardware,Incarcator Gaz Model 21,131,12,293.35,643.03,0.081
5690,Hardware,Incarcator Gaz Model 67,46,15,114.43,156.99,0.037
5691,Auto,Rulment Roata Fata Model 74,17,14,172.04,381.3,0.184
5692,Hardware,Incarcator Gaz Model 22,149,5,85.32,122.87,0.384
5693,Perisabile,[Perisabile] Spray Degripant Model 86,6,16,85.48,148.89,0.431
5694,Hardware,Trusa Tubulare Model 21,47,12,139.67,193.07,0.352
5695,Hardware,Cheie Dinamometrica Model 85,101,8,258.49,389.45,0.262
5696,Hardware,Incarcator Gaz Model 13,134,15,166.1,396.14,0.473
5697,Electronice,[Electronice] Sursa Laborator Model 49,89,10,238.95,419.64,0.231
5698,Hardware,Incarcator Gaz Model 12,63,7,122.43,283.64,0.037
5699,Auto,Set Placute Frana Model 27,132,7,238.42,508.99,0.443
5700,Perisabile,[Perisabile] Solutie Curatare Frane Model 73,63,19,295.81,556.6,0.087
5701,Electronice,[Electronice] Modul Transmisie LoRa Model 55,90,20,252.22,366.22,0.11
5702,Hardware,Trusa Tubulare Model 12,104,6,109.88,172.61,0.165
5703,Auto,Baterie 12V 70Ah Model 40,141,10,36.24,60.23,0.093
5704,Auto,Rulment Roata Fata Model 55,85,18,65.18,104.27,0.154
5705,Hardware,Cheie Dinamometrica Model 75,48,14,127.32,169.89,0.064
5706,Perisabile,[Perisabile] Spray Degripant Model 54,146,17,218.68,502.28,0.282
5707,Electronice,[Electronice] Sursa Laborator Model 96,148,15,42.66,56.96,0.251
5708,Electronice,[Electronice] Modul Transmisie LoRa Model 40,20,9,167.07,289.02,0.281
5709,Hardware,Incarcator Gaz Model 35,82,9,116.07,286.32,0.265
5710,Electronice,[Electronice] Osciloscop Model 38,113,9,179.42,306.6,0.062
5711,Auto,Baterie 12V 70Ah Model 57,31,15,195.61,382.05,0.36
5712,Hardware,Set Imbusuri Model 69,0,9,59.79,110.04,0.358
5713,Electronice,[Electronice] Sursa Laborator Model 91,91,8,220.58,484.34,0.062
5714,Electronice,[Electronice] Sursa Laborator Model 88,3,11,60.34,144.32,0.265
5715,Auto,Set Placute Frana Model 26,101,10,155.11,244.92,0.286
5716,Hardware,Trusa Tubulare Model 29,144,19,210.84,334.54,0.225
5717,Perisabile,[Perisabile] Spray Degripant Model 84,44,11,145.64,194.65,0.416
5718,Perisabile,[Perisabile] Spray Degripant Model 61,79,19,27.58,43.73,0.363
5719,Perisabile,[Perisabile] Spray Degripant Model 59,13,17,88.83,204.22,0.179
5720,Perisabile,[Perisabile] Adeziv Industrial Model 18,130,13,118.35,272.28,0.327
5721,Auto,Filtru Aer Model 66,109,20,282.03,562.02,0.393
5722,Hardware,Incarcator Gaz Model 51,143,13,133.28,253.89,0.209
5723,Perisabile,[Perisabile] Adeziv Industrial Model 14,65,19,129.52,251.41,0.186
5724,Electronice,[Electronice] Osciloscop Model 1,33,14,178.82,271.19,0.12
5725,Auto,Furtun Intercooler 2.0 TDI Model 78,95,17,59.69,97.87,0.143
5726,Electronice,[Electronice] Modul Transmisie LoRa Model 81,145,18,229.69,438.07,0.396
5727,Hardware,Trusa Tubulare Model 28,119,12,146.67,196.54,0.204
5728,Electronice,[Electronice] Modul Transmisie LoRa Model 42,132,10,122.75,253.47,0.235
5729,Hardware,Incarcator Gaz Model 23,80,10,212.07,283.22,0.378
5730,Electronice,[Electronice] Multimetru Analogic Model 95,91,8,254.13,445.47,0.418
5731,Electronice,[Electronice] Modul Transmisie LoRa Model 49,47,18,18.66,35.25,0.092
5732,Electronice,[Electronice] Osciloscop Model 78,44,10,109.11,240.63,0.127
5733,Auto,Set Placute Frana Model 18,115,7,29.74,58.39,0.055
5734,Electronice,[Electronice] Multimetru Analogic Model 99,122,15,96.56,132.7,0.307
5735,Auto,Furtun Intercooler 2.0 TDI Model 6,88,18,136.26,242.9,0.488
5736,Perisabile,[Perisabile] Adeziv Industrial Model 6,145,17,120.42,211.78,0.077
5737,Hardware,Trusa Tubulare Model 46,73,5,14.79,20.45,0.164
5738,Electronice,[Electronice] Osciloscop Model 17,10,7,149.81,304.9,0.101
5739,Electronice,[Electronice] Osciloscop Model 39,121,12,193.36,273.91,0.276
5740,Electronice,[Electronice] Sursa Laborator Model 42,143,9,65.58,99.26,0.373
5741,Hardware,Trusa Tubulare Model 31,23,9,230.19,380.53,0.488
5742,Auto,Rulment Roata Fata Model 33,39,15,47.19,73.6,0.457
5743,Auto,Filtru Aer Model 98,32,12,255.27,487.38,0.433
5744,Hardware,Cheie Dinamometrica Model 10,117,18,158.89,298.6,0.207
5745,Auto,Baterie 12V 70Ah Model 10,56,13,200.34,492.7,0.358
5746,Auto,Furtun Intercooler 2.0 TDI Model 1,97,11,248.77,408.09,0.133
5747,Hardware,Set Imbusuri Model 87,64,5,103.28,174.26,0.278
5748,Auto,Baterie 12V 70Ah Model 49,11,14,82.73,181.28,0.186
5749,Auto,Furtun Intercooler 2.0 TDI Model 79,124,15,123.09,208.16,0.237
5750,Perisabile,[Perisabile] Spray Degripant Model 6,107,19,293.8,499.72,0.416
5751,Auto,Set Placute Frana Model 67,130,14,255.9,586.19,0.178
5752,Electronice,[Electronice] Multimetru Analogic Model 39,139,5,61.55,151.16,0.337
5753,Perisabile,[Perisabile] Adeziv Industrial Model 97,68,7,104.2,152.6,0.397
5754,Electronice,[Electronice] Modul Transmisie LoRa Model 2,123,8,213.72,286.54,0.143
5755,Auto,Filtru Aer Model 87,131,5,113.33,241.28,0.267
5756,Auto,Rulment Roata Fata Model 48,112,19,100.21,238.72,0.083
5757,Electronice,[Electronice] Osciloscop Model 11,80,19,36.36,48.96,0.17
5758,Auto,Filtru Aer Model 95,17,16,270.22,361.44,0.15
5759,Hardware,Set Imbusuri Model 89,128,18,195.89,314.4,0.211
5760,Hardware,Trusa Tubulare Model 3,4,13,74.51,142.8,0.279
5761,Electronice,[Electronice] Osciloscop Model 30,107,12,39.94,77.53,0.347
5762,Perisabile,[Perisabile] Adeziv Industrial Model 10,119,16,55.94,132.56,0.024
5763,Hardware,Trusa Tubulare Model 47,132,6,140.2,247.85,0.031
5764,Auto,Rulment Roata Fata Model 68,108,13,213.95,278.23,0.474
5765,Auto,Rulment Roata Fata Model 34,42,18,285.11,605.62,0.499
5766,Hardware,Set Imbusuri Model 76,45,14,107.81,192.32,0.473
5767,Perisabile,[Perisabile] Adeziv Industrial Model 13,31,19,139.23,226.6,0.222
5768,Perisabile,[Perisabile] Solutie Curatare Frane Model 69,63,14,14.53,21.08,0.463
5769,Auto,Senzor Debitmetru Model 43,70,18,79.79,160.44,0.202
5770,Hardware,Incarcator Gaz Model 22,73,16,160.61,347.72,0.124
5771,Auto,Baterie 12V 70Ah Model 47,41,15,162.15,377.67,0.378
5772,Hardware,Cheie Dinamometrica Model 43,56,19,240.35,472.11,0.295
5773,Perisabile,[Perisabile] Adeziv Industrial Model 85,62,12,101.63,177.1,0.458
5774,Electronice,[Electronice] Multimetru Analogic Model 55,85,13,147.5,327.88,0.086
5775,Hardware,Cheie Dinamometrica Model 7,38,17,164.09,332.22,0.294
5776,Hardware,Incarcator Gaz Model 19,86,10,164.73,314.83,0.345
5777,Hardware,Set Imbusuri Model 22,122,7,246.26,401.63,0.066
5778,Auto,Senzor Debitmetru Model 87,33,8,33.58,61.26,0.029
5779,Perisabile,[Perisabile] Spray Degripant Model 44,69,8,268.89,332.48,0.34
5780,Electronice,[Electronice] Osciloscop Model 33,69,18,229.16,554.33,0.037
5781,Perisabile,[Perisabile] Spray Degripant Model 28,28,15,15.0,27.37,0.312
5782,Perisabile,[Perisabile] Spray Degripant Model 64,16,8,103.77,154.71,0.212
5783,Auto,Baterie 12V 70Ah Model 19,68,19,32.52,59.34,0.246
5784,Hardware,Cheie Dinamometrica Model 1,95,17,24.82,57.08,0.211
5785,Perisabile,[Perisabile] Spray Degripant Model 69,42,11,93.49,217.57,0.239
5786,Auto,Rulment Roata Fata Model 18,70,14,46.72,87.45,0.124
5787,Perisabile,[Perisabile] Solutie Curatare Frane Model 19,83,8,207.34,432.43,0.354
5788,Hardware,Trusa Tubulare Model 80,142,15,174.88,395.25,0.483
5789,Perisabile,[Perisabile] Adeziv Industrial Model 78,46,11,103.13,144.82,0.091
5790,Auto,Set Placute Frana Model 51,122,5,165.72,240.45,0.183
5791,Perisabile,[Perisabile] Adeziv Industrial Model 36,132,9,68.37,106.41,0.193
5792,Auto,Rulment Roata Fata Model 1,146,10,241.24,300.61,0.319
5793,Electronice,[Electronice] Modul Transmisie LoRa Model 67,46,5,54.82,134.22,0.473
5794,Perisabile,[Perisabile] Adeziv Industrial Model 38,26,6,272.51,651.97,0.076
5795,Auto,Senzor Debitmetru Model 80,4,17,176.57,268.29,0.491
5796,Perisabile,[Perisabile] Solutie Curatare Frane Model 27,27,18,148.13,330.32,0.078
5797,Perisabile,[Perisabile] Spray Degripant Model 17,83,7,74.47,154.93,0.129
5798,Perisabile,[Perisabile] Spray Degripant Model 79,104,17,79.96,116.34,0.128
5799,Hardware,Cheie Dinamometrica Model 14,136,7,36.77,52.64,0.046
5800,Perisabile,[Perisabile] Solutie Curatare Frane Model 94,140,11,277.03,560.32,0.282
5801,Electronice,[Electronice] Modul Transmisie LoRa Model 76,103,20,216.71,528.19,0.094
5802,Hardware,Set Imbusuri Model 28,5,10,234.29,417.22,0.42
5803,Perisabile,[Perisabile] Adeziv Industrial Model 1,145,16,228.65,550.01,0.209
5804,Perisabile,[Perisabile] Spray Degripant Model 76,95,6,243.96,298.64,0.092
5805,Electronice,[Electronice] Modul Transmisie LoRa Model 90,26,17,205.49,372.86,0.146
5806,Hardware,Incarcator Gaz Model 29,105,15,149.12,208.8,0.129
5807,Perisabile,[Perisabile] Solutie Curatare Frane Model 90,53,15,225.96,535.69,0.071
5808,Auto,Rulment Roata Fata Model 26,103,18,292.66,480.43,0.429
5809,Perisabile,[Perisabile] Spray Degripant Model 76,45,6,281.91,490.98,0.243
5810,Perisabile,[Perisabile] Spray Degripant Model 88,107,5,225.52,480.47,0.38
5811,Hardware,Set Imbusuri Model 37,57,11,259.83,479.71,0.399
5812,Electronice,[Electronice] Sursa Laborator Model 20,37,17,239.89,398.17,0.117
5813,Auto,Filtru Aer Model 91,80,16,247.14,410.09,0.176
5814,Electronice,[Electronice] Sursa Laborator Model 2,87,17,288.3,492.7,0.464
5815,Perisabile,[Perisabile] Adeziv Industrial Model 46,138,16,238.38,383.91,0.226
5816,Perisabile,[Perisabile] Solutie Curatare Frane Model 32,3,7,128.57,190.16,0.223
5817,Auto,Set Placute Frana Model 20,126,9,85.3,115.09,0.097
5818,Hardware,Cheie Dinamometrica Model 45,9,15,88.48,130.59,0.231
5819,Perisabile,[Perisabile] Solutie Curatare Frane Model 75,37,9,237.27,530.91,0.234
5820,Perisabile,[Perisabile] Adeziv Industrial Model 75,93,5,278.96,352.0,0.484
5821,Hardware,Cheie Dinamometrica Model 36,103,10,104.38,198.65,0.286
5822,Auto,Senzor Debitmetru Model 41,98,20,120.91,259.12,0.473
5823,Hardware,Set Imbusuri Model 52,5,19,248.31,444.11,0.041
5824,Electronice,[Electronice] Multimetru Analogic Model 44,139,14,121.65,222.88,0.05
5825,Hardware,Cheie Dinamometrica Model 62,85,8,190.36,299.24,0.401
5826,Perisabile,[Perisabile] Spray Degripant Model 25,73,8,276.61,586.08,0.492
5827,Hardware,Trusa Tubulare Model 67,70,5,168.18,352.22,0.429
5828,Electronice,[Electronice] Multimetru Analogic Model 84,136,8,214.97,290.98,0.401
5829,Auto,Set Placute Frana Model 9,17,18,297.3,467.65,0.123
5830,Electronice,[Electronice] Multimetru Analogic Model 22,72,17,20.76,32.71,0.197
5831,Electronice,[Electronice] Modul Transmisie LoRa Model 13,23,6,293.06,650.7,0.198
5832,Perisabile,[Perisabile] Adeziv Industrial Model 67,45,6,288.7,517.77,0.264
5833,Electronice,[Electronice] Osciloscop Model 66,35,7,157.73,222.67,0.29
5834,Perisabile,[Perisabile] Adeziv Industrial Model 22,16,5,19.15,45.84,0.471
5835,Perisabile,[Perisabile] Adeziv Industrial Model 95,131,8,64.34,101.13,0.43
5836,Perisabile,[Perisabile] Adeziv Industrial Model 46,37,17,261.64,386.81,0.113
5837,Perisabile,[Perisabile] Solutie Curatare Frane Model 76,38,17,268.75,509.39,0.456
5838,Auto,Filtru Aer Model 3,46,16,255.41,547.79,0.301
5839,Auto,Furtun Intercooler 2.0 TDI Model 90,11,9,143.74,332.9,0.488
5840,Electronice,[Electronice] Modul Transmisie LoRa Model 11,94,18,267.08,607.41,0.06
5841,Perisabile,[Perisabile] Adeziv Industrial Model 50,122,15,38.48,53.83,0.461
5842,Perisabile,[Perisabile] Adeziv Industrial Model 18,58,5,61.81,112.87,0.468
5843,Electronice,[Electronice] Modul Transmisie LoRa Model 3,19,13,97.42,210.03,0.424
5844,Hardware,Trusa Tubulare Model 57,112,5,260.84,429.52,0.256
5845,Auto,Rulment Roata Fata Model 36,149,16,255.03,497.93,0.429
5846,Hardware,Set Imbusuri Model 50,53,18,54.87,68.6,0.056
5847,Auto,Furtun Intercooler 2.0 TDI Model 36,25,7,113.38,174.59,0.264
5848,Perisabile,[Perisabile] Solutie Curatare Frane Model 65,147,14,276.2,450.33,0.081
5849,Hardware,Cheie Dinamometrica Model 1,73,15,81.53,155.21,0.093
5850,Perisabile,[Perisabile] Spray Degripant Model 78,61,5,87.01,124.77,0.033
5851,Hardware,Cheie Dinamometrica Model 55,100,15,10.42,17.55,0.377
5852,Auto,Set Placute Frana Model 47,85,11,281.02,660.82,0.254
5853,Perisabile,[Perisabile] Spray Degripant Model 87,59,10,139.0,324.95,0.251
5854,Electronice,[Electronice] Sursa Laborator Model 95,10,7,133.74,249.4,0.015
5855,Perisabile,[Perisabile] Adeziv Industrial Model 50,128,10,25.89,32.8,0.374
5856,Electronice,[Electronice] Modul Transmisie LoRa Model 68,21,10,205.82,372.02,0.298
5857,Auto,Furtun Intercooler 2.0 TDI Model 30,1,8,22.01,46.85,0.491
5858,Auto,Furtun Intercooler 2.0 TDI Model 81,32,12,117.35,274.61,0.408
5859,Hardware,Incarcator Gaz Model 6,91,8,198.15,419.48,0.044
5860,Perisabile,[Perisabile] Solutie Curatare Frane Model 93,101,19,193.37,376.98,0.221
5861,Auto,Set Placute Frana Model 92,96,9,167.2,405.56,0.118
5862,Auto,Set Placute Frana Model 63,139,10,73.64,151.4,0.124
5863,Perisabile,[Perisabile] Adeziv Industrial Model 44,55,5,199.7,344.63,0.338
5864,Hardware,Cheie Dinamometrica Model 66,110,16,129.98,244.6,0.466
5865,Hardware,Cheie Dinamometrica Model 75,98,5,207.34,293.92,0.052
5866,Electronice,[Electronice] Osciloscop Model 15,14,16,254.61,489.57,0.192
5867,Electronice,[Electronice] Sursa Laborator Model 6,18,11,256.4,503.7,0.491
5868,Hardware,Trusa Tubulare Model 58,16,16,118.15,145.02,0.496
5869,Perisabile,[Perisabile] Adeziv Industrial Model 50,1,15,61.56,122.22,0.034
5870,Electronice,[Electronice] Modul Transmisie LoRa Model 94,138,11,274.61,378.14,0.161
5871,Electronice,[Electronice] Osciloscop Model 17,124,19,111.13,184.74,0.125
5872,Electronice,[Electronice] Osciloscop Model 89,25,8,83.45,140.88,0.336
5873,Auto,Furtun Intercooler 2.0 TDI Model 1,144,12,165.66,234.17,0.102
5874,Auto,Set Placute Frana Model 19,72,18,145.9,221.0,0.415
5875,Electronice,[Electronice] Sursa Laborator Model 30,105,9,31.4,38.94,0.37
5876,Auto,Set Placute Frana Model 19,116,16,283.44,594.56,0.364
5877,Hardware,Set Imbusuri Model 17,132,5,113.72,270.95,0.241
5878,Perisabile,[Perisabile] Spray Degripant Model 52,30,11,206.36,343.44,0.217
5879,Hardware,Set Imbusuri Model 48,48,16,11.27,27.99,0.105
5880,Perisabile,[Perisabile] Spray Degripant Model 39,98,14,186.13,451.4,0.469
5881,Hardware,Cheie Dinamometrica Model 49,134,6,214.44,484.54,0.327
5882,Auto,Furtun Intercooler 2.0 TDI Model 29,121,7,49.33,120.32,0.342
5883,Electronice,[Electronice] Sursa Laborator Model 29,7,20,55.38,121.68,0.46
5884,Perisabile,[Perisabile] Spray Degripant Model 37,117,16,70.78,143.98,0.045
5885,Hardware,Incarcator Gaz Model 71,14,10,160.43,295.16,0.301
5886,Hardware,Set Imbusuri Model 20,94,10,236.31,332.1,0.31
5887,Electronice,[Electronice] Osciloscop Model 64,99,14,38.23,61.67,0.424
5888,Electronice,[Electronice] Osciloscop Model 14,68,7,229.34,393.7,0.089
5889,Auto,Filtru Aer Model 94,101,16,217.68,465.02,0.25
5890,Electronice,[Electronice] Multimetru Analogic Model 53,23,14,158.52,326.81,0.328
5891,Hardware,Set Imbusuri Model 54,0,11,128.85,158.07,0.396
5892,Perisabile,[Perisabile] Adeziv Industrial Model 91,16,11,168.69,408.27,0.103
5893,Auto,Baterie 12V 70Ah Model 63,112,15,155.5,252.58,0.261
5894,Hardware,Trusa Tubulare Model 19,57,17,130.89,242.23,0.259
5895,Hardware,Trusa Tubulare Model 81,53,10,157.33,299.61,0.023
5896,Hardware,Cheie Dinamometrica Model 82,66,18,220.48,478.46,0.201
5897,Electronice,[Electronice] Multimetru Analogic Model 58,4,19,163.45,327.56,0.302
5898,Auto,Rulment Roata Fata Model 23,102,10,10.74,26.43,0.287
5899,Hardware,Cheie Dinamometrica Model 11,24,9,110.08,230.47,0.133
5900,Auto,Filtru Aer Model 94,108,8,77.92,133.02,0.064
5901,Electronice,[Electronice] Sursa Laborator Model 40,26,7,45.62,61.38,0.262
5902,Auto,Senzor Debitmetru Model 95,134,7,148.82,193.15,0.49
5903,Auto,Rulment Roata Fata Model 61,77,13,46.56,68.88,0.117
5904,Hardware,Cheie Dinamometrica Model 86,29,17,189.94,313.7,0.358
5905,Auto,Senzor Debitmetru Model 5,1,5,120.91,273.51,0.423
5906,Electronice,[Electronice] Multimetru Analogic Model 84,22,10,134.29,203.14,0.374
5907,Auto,Baterie 12V 70Ah Model 31,115,19,293.95,610.79,0.184
5908,Perisabile,[Perisabile] Solutie Curatare Frane Model 10,57,9,275.73,476.17,0.478
5909,Auto,Baterie 12V 70Ah Model 38,40,13,201.35,444.72,0.105
5910,Perisabile,[Perisabile] Adeziv Industrial Model 1,42,18,226.03,318.37,0.35
5911,Electronice,[Electronice] Osciloscop Model 71,20,7,244.71,433.71,0.185
5912,Hardware,Cheie Dinamometrica Model 19,123,18,53.4,78.31,0.04
5913,Hardware,Trusa Tubulare Model 85,34,13,242.42,506.57,0.454
5914,Perisabile,[Perisabile] Solutie Curatare Frane Model 81,128,13,94.96,218.66,0.082
5915,Electronice,[Electronice] Sursa Laborator Model 57,143,17,158.61,379.73,0.029
5916,Perisabile,[Perisabile] Adeziv Industrial Model 21,113,14,247.66,349.93,0.407
5917,Perisabile,[Perisabile] Adeziv Industrial Model 19,122,13,67.75,106.94,0.215
5918,Hardware,Set Imbusuri Model 15,66,7,127.78,189.14,0.434
5919,Perisabile,[Perisabile] Spray Degripant Model 39,2,9,154.72,249.22,0.207
5920,Perisabile,[Perisabile] Solutie Curatare Frane Model 85,142,19,259.98,391.36,0.154
5921,Hardware,Cheie Dinamometrica Model 74,3,5,148.25,236.57,0.069
5922,Auto,Senzor Debitmetru Model 50,13,18,291.65,616.99,0.356
5923,Hardware,Trusa Tubulare Model 32,53,20,67.13,119.37,0.191
5924,Electronice,[Electronice] Osciloscop Model 88,40,9,213.9,424.85,0.252
5925,Perisabile,[Perisabile] Spray Degripant Model 43,100,14,279.66,652.72,0.158
5926,Electronice,[Electronice] Multimetru Analogic Model 13,5,16,269.09,649.8,0.015
5927,Perisabile,[Perisabile] Solutie Curatare Frane Model 15,43,20,215.53,459.74,0.466
5928,Auto,Senzor Debitmetru Model 76,140,9,187.62,407.43,0.486
5929,Electronice,[Electronice] Osciloscop Model 99,148,5,31.43,78.51,0.139
5930,Hardware,Cheie Dinamometrica Model 96,76,18,144.47,236.37,0.269
5931,Electronice,[Electronice] Multimetru Analogic Model 85,134,20,192.73,402.12,0.257
5932,Perisabile,[Perisabile] Spray Degripant Model 69,18,7,210.4,281.15,0.452
5933,Hardware,Trusa Tubulare Model 84,55,6,130.86,203.35,0.277
5934,Perisabile,[Perisabile] Adeziv Industrial Model 72,86,18,87.61,183.04,0.137
5935,Hardware,Set Imbusuri Model 16,82,5,64.58,125.66,0.378
5936,Perisabile,[Perisabile] Solutie Curatare Frane Model 21,84,20,22.63,43.7,0.438
5937,Hardware,Trusa Tubulare Model 99,80,20,94.47,139.78,0.079
5938,Hardware,Cheie Dinamometrica Model 89,88,13,52.37,105.07,0.396
5939,Electronice,[Electronice] Osciloscop Model 57,19,15,35.85,70.18,0.328
5940,Perisabile,[Perisabile] Solutie Curatare Frane Model 90,84,7,212.08,373.37,0.276
5941,Perisabile,[Perisabile] Solutie Curatare Frane Model 92,41,7,258.03,518.39,0.362
5942,Hardware,Incarcator Gaz Model 63,68,9,139.07,180.48,0.076
5943,Perisabile,[Perisabile] Solutie Curatare Frane Model 24,145,12,25.31,45.79,0.479
5944,Hardware,Trusa Tubulare Model 92,35,6,95.54,220.18,0.354
5945,Auto,Rulment Roata Fata Model 96,17,14,153.65,251.4,0.203
5946,Perisabile,[Perisabile] Solutie Curatare Frane Model 46,103,5,109.23,252.7,0.465
5947,Perisabile,[Perisabile] Spray Degripant Model 35,31,8,146.05,187.77,0.287
5948,Hardware,Set Imbusuri Model 37,89,20,270.44,639.19,0.187
5949,Perisabile,[Perisabile] Adeziv Industrial Model 93,92,7,255.79,385.68,0.247
5950,Electronice,[Electronice] Sursa Laborator Model 90,12,13,62.39,77.86,0.016
5951,Auto,Senzor Debitmetru Model 36,25,6,106.46,229.96,0.466
5952,Perisabile,[Perisabile] Spray Degripant Model 65,115,19,259.35,529.0,0.347
